Verb,Transport,Construction_type,Normal_form,Prefix,Tense,Aspect,Number,Full_context,Sent_length,Author,Header,Created
перебрался,поездом,INS,перебраться,yes,past,perf,sing,"Из Коканда в Москву когда-то он перебрался поездом, на верблюдах и на ишаках, но теперь- то Данилов, беря грех на себя, вынуждал его лететь жутко куда. ",26,Владимир Орлов,Альтист Данилов,1980
вернулись,поездом,INS,вернуться,no,past,perf,sing,"Обратно вернулись поездом, сдав велосипеды в багаж. ",7,Е. Попок,Спортивная семья,1980
приехала,поездом,INS,приехать,yes,past,perf,sing,"Необходимо отметить, что в те времена еще не было регулярного воздушного сообщения и пассажирских самолетов между Лондоном и Москвой и « прилетела» ― только изящная метафора для « приехала поездом» лауреата Ленинской премии. ",33,Н. Н. Берберова,Железная женщина,1978
Еду,поездом,INS,ехать,no,pres,impf,sing,"Приснился жуткий, гадкий, я бы сказал ― циничный сон… Я еду в республику S= F. Еду поездом, хотя известно по песенке, что « туда не ходят поезда» … Уже цинизм… Дальше ― крушение. ",33,В. Ф. Кормер,Крот истории или революция в республике S=F,1979
отправились,поездом,INS,отправиться,yes,past,perf,sing,13 октября мы отправились поездом в Армавир. ,7,К. А. Куприна,Куприн ― мой отец,1979
ехали,поездом,INS,ехать,no,past,impf,sing,"Из Белостока до Минска мы летели с ней на санитарном самолете, по-моему, на Р- 5, а от Минска ехали поездом. ",20,Константин Симонов,Глазами человека моего поколения,1979
ехал,поездом,INS,ехать,no,past,impf,sing,"В Калинине мне рассказали, что у клоуна Николая Лаврова, когда он ехал поездом в Пензу, взорвались в чемодане хлопушки.   ",19,Юрий Никулин,Клоуна надо видеть,1979
отбываю,поездом,INS,отбывать,yes,pres,impf,sing,Через час отбываю ― поездом. ,5,Константин Симонов,Так называемая личная жизнь/ Мы не увидимся с тобой...,1978
ехали,поездом,INS,ехать,no,past,impf,sing,Лучше б ехали поездом.   ,4,Константин Симонов,Так называемая личная жизнь/ Мы не увидимся с тобой...,1978
везли,поездом,INS,везти,no,past,impf,sing,Его везли поездом… ― думал я вслух.   ,7,Анатолий Безуглов,Страх,1977
выезжаю,поездом,INS,выезжать,yes,pres,impf,sing,Из Москвы телеграмма ― выезжаю поездом таким-то… ,7,Виктор Некрасов,Взгляд и Нечто,1977
ехали,поездом,INS,ехать,no,past,impf,sing,"Мы ехали поездом вечер и ночь; ночью проехали знаменитый четырехкилометровый железнодорожный туннель, построенный японцами уже во время войны под Симоносекским проливом, и утром проснулись на самом южном из островов Японии ― Кюсю, на том берегу Симоносекского пролива, в Модзи. ",39,Константин Симонов,Япония. 46,1946
приехали,поездом,INS,приехать,yes,past,perf,sing,"Бросили бы машины с двумя- тремя людьми, а сами бы приехали поездом.   ",12,С. М. Голицын,Записки беспогонника,1946
прибыли,поездом,INS,прибыть,yes,past,perf,sing,"Остальные участники сбора, в основном молодые пловцы окончившие курсы в 1973 году, прибыли поездом.   ",14,В. Бирюков,Наш клуб «Посейдон»,1975
отбыл,поездом,INS,отбыть,yes,past,perf,sing,"Бор пропустил ночной поезд, ибо не смог найти свой паспорт ( который меж тем лежал на его столе); он отбыл поездом утренним, захватив с собою злосчастное письмо».   ",27,Д. С. Данин,Нильс Бор,1969
уехал,поездом,INS,уехать,yes,past,perf,sing,"Заехав на день в Нижний, я вернулся обратно в Москву, получил в ЦК соответствующую экипировку для защиты от сибирских холодов и в тот же день уехал поездом в Ново- Николаевск.   ",30,Анастас Микоян,Так было,1971
выехали,поездом,INS,выехать,yes,past,perf,sing,Мы выехали поездом 9 августа. ,5,Анастас Микоян,Так было,1971
поехали,поездом,INS,поехать,yes,past,perf,sing,"Поехали на аэродром, но из-за нелетной погоды вернулись в город и поехали поездом. ",13,Анастас Микоян,Так было,1971
отправились,поездом,INS,отправиться,yes,past,perf,sing,Дальше мы отправились поездом. ,4,Анастас Микоян,Так было,1971
Ехал,поездами,INS,ехать,no,past,impf,plur,"Ехал поездами, пока можно было, а потом вдвоем с адъютантом он перевалил через Кавказский хребет верхами.   ",16,В. В. Шульгин,Французская интервенция на юге России в 1918 ― 1919 годах: Отрывочные воспоминания 1973 года,1973
